state,week,population_100k,ed_visit_rate,naloxone_admin_rate,subprogram_type,copresent_subrate
CA,35,23.9,8.62,19.0,,0.0
CA,36,29.8,6.55,10.39,,0.0
CA,37,34.5,6.98,21.28,,0.0
CA,38,55.0,6.62,8.72,,0.0
CA,39,28.0,8.42,18.92,,0.0
CA,40,28.5,5.88,,,0.0
CA,41,24.4,8.36,,,0.0
CA,42,28.5,7.32,,,0.0
CA,43,56.5,10.08,,,0.0
CA,44,51.6,8.0,,,0.0
CA,45,52.9,8.8,19.17,,0.0
CA,46,43.7,7.96,13.61,,0.0
CA,47,45.4,7.71,22.23,,0.0
CA,48,34.2,9.98,24.12,,0.0
CA,49,67.4,9.48,27.31,,0.0
CA,50,31.9,8.13,17.19,,0.0
CA,51,46.0,9.02,14.6,,0.0
CA,52,45.0,7.59,20.64,,0.0
CO,1,60.2,,52.08,pharmacy,8.16
CO,2,52.6,,54.38,pharmacy,8.95
CO,3,72.7,,52.97,pharmacy,6.62
CO,4,51.8,17.88,49.8,pharmacy,8.37
CO,5,83.0,19.47,29.95,pharmacy,7.28
CO,6,61.2,,37.89,pharmacy,4.22
CO,7,66.0,19.27,38.54,pharmacy,8.93
CO,8,48.1,,42.05,pharmacy,7.39
CO,9,43.3,19.43,48.23,pharmacy,6.86
CO,10,60.6,17.61,38.53,pharmacy,4.12
CO,11,63.4,19.58,51.42,pharmacy,8.26
CO,12,62.5,19.21,42.65,pharmacy,8.42
CO,13,73.2,,41.7,pharmacy,3.98
CO,14,58.0,,57.46,pharmacy,9.32
CO,15,82.2,,38.97,pharmacy,6.09
CO,16,61.0,,51.16,pharmacy,3.94
CO,17,64.1,,59.37,pharmacy,4.48
CO,18,81.1,,55.33,pharmacy,9.44
CO,19,72.2,,40.83,pharmacy,9.41
CO,20,58.5,18.69,51.16,pharmacy,7.58
CO,21,84.6,17.97,51.08,pharmacy,5.55
CO,22,81.7,19.31,48.34,pharmacy,5.75
CO,23,58.1,18.71,28.21,pharmacy,8.05
CO,24,66.1,20.3,53.25,pharmacy,9.94
CO,25,74.7,17.53,29.97,pharmacy,5.05
CO,26,82.9,16.34,45.79,pharmacy,5.82
CO,27,49.9,16.41,47.82,pharmacy,4.14
CO,28,70.1,17.17,40.1,pharmacy,5.76
CO,29,67.2,15.73,26.84,pharmacy,6.73
CO,30,82.2,,41.37,pharmacy,7.1
CO,31,74.4,16.21,46.31,pharmacy,8.06
CO,32,67.8,,41.08,pharmacy,7.09
CO,33,71.3,16.66,28.22,pharmacy,6.75
CO,34,72.2,15.63,36.42,pharmacy,4.97
CO,35,54.8,16.23,29.28,pharmacy,4.88
CO,36,49.8,17.03,29.35,pharmacy,4.85
CO,37,45.8,15.01,47.11,pharmacy,3.83
CO,38,70.4,13.9,21.49,pharmacy,4.65
CO,39,67.3,14.14,,pharmacy,6.13
CO,40,46.2,,,pharmacy,5.86
CO,41,47.7,15.42,,pharmacy,7.41
CO,42,70.2,15.76,,pharmacy,5.6
CO,43,52.3,16.62,26.8,pharmacy,4.45
CO,44,49.3,17.21,35.75,pharmacy,7.17
CO,45,47.8,15.12,36.9,pharmacy,6.91
CO,46,53.3,16.32,27.22,pharmacy,4.97
CO,47,59.6,16.32,47.41,pharmacy,6.26
CO,48,61.8,17.1,41.98,pharmacy,4.66
CO,49,48.7,17.0,44.76,pharmacy,4.2
CO,50,62.7,,37.72,pharmacy,8.76
CO,51,45.5,17.71,48.38,pharmacy,8.13
CO,52,80.4,17.18,34.04,pharmacy,8.49
FL,1,56.2,2.83,4.17,mobile,0.78
FL,2,25.7,5.14,10.67,mobile,1.64
FL,3,44.1,5.37,16.55,mobile,2.12
FL,4,45.2,4.62,11.57,mobile,1.35
FL,5,49.2,5.14,7.65,mobile,2.45
FL,6,30.6,7.05,14.74,mobile,3.24
FL,7,33.1,6.65,16.43,mobile,3.14
FL,8,21.4,7.95,23.11,mobile,3.79
FL,9,44.5,6.38,14.06,mobile,1.89
FL,10,32.3,7.88,14.88,mobile,2.14
FL,11,44.8,7.39,10.18,mobile,2.09
FL,12,35.5,7.92,12.22,mobile,3.25
FL,13,54.5,6.46,11.33,mobile,1.92
FL,14,26.6,7.27,12.58,mobile,3.57
FL,15,15.1,4.77,15.45,mobile,2.17
FL,16,14.5,7.19,22.62,mobile,2.3
FL,17,57.5,8.56,19.3,mobile,4.18
FL,18,45.1,5.83,13.43,mobile,1.59
FL,19,43.5,5.2,11.67,mobile,2.56
FL,20,30.8,4.5,9.99,mobile,1.21
FL,21,45.8,6.41,15.29,mobile,1.87
FL,22,15.0,4.79,6.64,mobile,2.16
FL,23,20.8,5.04,12.87,mobile,1.87
FL,24,39.4,5.61,18.35,mobile,2.03
FL,25,26.0,3.6,6.36,mobile,1.41
FL,26,15.2,2.93,6.48,mobile,0.91
FL,27,56.2,3.23,8.67,mobile,1.55
FL,28,17.2,4.3,3.78,mobile,0.92
FL,29,36.9,4.33,10.34,mobile,1.84
FL,30,52.9,3.54,6.73,mobile,0.83
FL,31,58.1,1.4,1.75,mobile,0.69
FL,32,53.0,2.42,2.01,mobile,0.97
FL,33,28.2,2.82,7.93,mobile,1.03
FL,34,25.1,2.64,9.07,mobile,0.91
FL,35,22.7,2.28,,mobile,0.94
FL,36,37.1,1.69,,mobile,0.4
FL,37,13.7,1.87,,mobile,0.64
FL,38,46.1,2.35,5.7,mobile,0.55
FL,39,40.4,1.3,0.0,mobile,0.53
FL,40,37.2,2.5,7.57,mobile,0.52
FL,41,36.4,1.53,4.53,mobile,0.73
FL,42,57.9,2.19,11.33,mobile,0.9
FL,43,29.9,2.47,3.39,mobile,0.71
FL,44,30.8,2.68,9.03,mobile,0.94
FL,45,34.4,2.13,7.83,mobile,0.65
FL,46,20.2,3.62,7.6,mobile,1.28
FL,47,44.4,2.9,5.54,mobile,0.86
FL,48,17.3,1.46,2.6,mobile,0.52
FL,49,22.3,4.83,7.58,mobile,2.26
FL,50,45.2,5.03,6.01,mobile,1.14
FL,51,54.7,4.35,8.6,mobile,1.61
FL,52,13.9,4.1,6.54,mobile,0.93
KY,1,46.6,9.83,18.29,clinic,3.4
KY,2,47.4,11.73,28.19,clinic,3.33
KY,3,69.6,12.13,20.32,clinic,5.74
KY,4,63.1,12.21,23.3,clinic,3.27
KY,5,60.4,12.7,33.07,clinic,2.79
KY,6,66.9,10.11,25.75,clinic,2.28
KY,7,65.3,13.06,28.2,clinic,4.84
KY,8,50.9,12.12,32.84,clinic,5.09
KY,9,62.3,12.56,26.65,clinic,5.04
KY,10,40.8,13.39,32.18,clinic,2.9
KY,11,70.2,14.23,30.41,clinic,6.16
KY,12,32.1,13.12,32.65,clinic,4.91
KY,13,63.9,12.93,25.8,clinic,5.95
KY,14,69.7,12.6,25.23,clinic,4.73
KY,15,57.7,13.13,33.4,clinic,2.69
KY,16,64.8,12.17,33.01,clinic,3.68
KY,17,43.9,13.24,26.48,clinic,3.53
KY,18,47.0,13.8,40.74,clinic,3.15
KY,19,69.7,11.26,21.02,clinic,3.54
KY,20,55.8,12.74,26.16,clinic,4.45
KY,21,55.5,11.18,23.01,clinic,3.26
KY,22,27.3,11.48,21.97,clinic,3.54
KY,23,36.1,12.1,19.48,clinic,3.93
KY,24,37.2,10.57,24.09,clinic,2.43
KY,25,33.2,11.64,19.69,clinic,3.53
KY,26,48.9,10.23,22.28,clinic,2.97
KY,27,37.8,11.34,26.73,clinic,5.52
KY,28,26.3,8.84,19.25,clinic,4.33
KY,29,38.5,8.63,16.42,clinic,1.85
KY,30,35.0,8.89,13.38,clinic,4.02
KY,31,34.9,8.2,16.62,clinic,3.42
KY,32,42.0,7.82,,clinic,1.68
KY,33,39.2,8.84,,clinic,2.4
KY,34,54.7,7.1,,clinic,2.74
KY,35,60.2,8.15,,clinic,2.7
KY,36,27.5,7.37,,clinic,2.68
KY,37,39.2,7.95,17.25,clinic,3.47
KY,38,32.6,7.5,14.43,clinic,1.61
KY,39,39.7,8.22,14.78,clinic,2.09
KY,40,38.0,7.33,18.24,clinic,2.49
KY,41,68.8,6.6,12.93,clinic,2.66
KY,42,58.3,7.94,14.23,clinic,2.1
KY,43,61.7,8.28,20.04,clinic,2.29
KY,44,36.3,8.9,21.0,clinic,2.3
KY,45,33.0,8.04,22.66,clinic,1.69
KY,46,63.4,8.0,16.67,clinic,2.81
KY,47,59.6,9.19,19.25,clinic,2.74
KY,48,46.7,9.5,15.81,clinic,4.35
KY,49,39.3,8.74,25.26,clinic,3.36
KY,50,58.4,7.63,21.81,clinic,3.0
KY,51,55.1,8.0,12.65,clinic,3.32
KY,52,35.0,12.56,30.01,clinic,4.25
MA,1,66.5,,35.28,mobile,3.99
MA,2,43.3,17.15,46.29,mobile,6.66
MA,3,45.7,17.37,32.53,mobile,5.05
MA,4,53.7,19.05,39.31,mobile,5.21
MA,5,68.3,,48.91,mobile,4.73
MA,6,63.0,18.51,48.77,mobile,6.54
MA,7,49.0,,41.24,mobile,6.69
MA,8,49.9,17.63,34.71,mobile,4.31
MA,9,76.2,,54.25,mobile,9.73
MA,10,43.3,,32.5,mobile,7.17
MA,11,82.9,17.95,28.93,mobile,8.86
MA,12,79.8,20.51,61.15,mobile,8.87
MA,13,41.4,,34.91,mobile,5.99
MA,14,59.6,18.13,36.58,mobile,4.51
MA,15,43.5,18.37,55.23,mobile,5.81
MA,16,65.4,,35.7,mobile,8.0
MA,17,75.5,17.43,38.76,mobile,6.07
MA,18,48.8,,46.24,mobile,4.77
MA,19,46.3,,50.98,mobile,5.89
MA,20,45.9,19.33,48.95,mobile,4.04
MA,21,52.8,,49.83,mobile,6.98
MA,22,69.0,,34.48,mobile,7.56
MA,23,78.0,,30.71,mobile,6.13
MA,24,80.8,18.89,31.17,mobile,9.15
MA,25,60.0,18.49,48.17,mobile,6.4
MA,26,50.7,16.34,33.72,mobile,6.9
MA,27,81.8,18.07,40.44,mobile,8.94
MA,28,73.5,16.68,30.01,mobile,3.63
MA,29,81.6,17.09,27.59,mobile,4.92
MA,30,50.9,17.67,39.02,mobile,4.82
MA,31,47.0,,32.26,mobile,7.85
MA,32,43.1,,31.7,mobile,5.78
MA,33,41.4,17.3,22.76,mobile,6.7
MA,34,64.1,17.07,29.06,mobile,6.58
MA,35,71.0,16.21,32.33,mobile,7.61
MA,36,60.5,,49.03,mobile,4.22
MA,37,82.2,17.76,47.11,mobile,8.16
MA,38,48.2,16.65,45.79,mobile,3.89
MA,39,79.2,,38.85,mobile,6.95
MA,40,83.3,17.0,,mobile,6.91
MA,41,51.5,16.65,,mobile,6.11
MA,42,59.1,18.94,,mobile,3.91
MA,43,54.2,16.34,38.12,mobile,3.62
MA,44,56.9,16.46,49.37,mobile,4.82
MA,45,68.2,17.72,37.68,mobile,8.23
MA,46,54.1,16.76,30.9,mobile,7.2
MA,47,72.1,15.61,42.84,mobile,5.8
MA,48,71.4,17.46,53.94,mobile,8.42
MA,49,41.5,17.4,46.99,mobile,5.72
MA,50,53.6,18.09,35.0,mobile,4.15
MA,51,62.4,17.56,40.36,mobile,6.68
MA,52,58.5,15.94,43.87,mobile,5.92
MI,1,55.4,16.47,33.03,,0.0
MI,2,82.7,16.93,45.99,,0.0
MI,3,60.7,17.16,,,0.0
MI,4,44.5,17.54,,,0.0
MI,5,47.9,18.41,,,0.0
MI,6,41.8,,31.25,,0.0
MI,7,77.3,15.78,28.84,,0.0
MI,8,68.6,,34.03,,0.0
MI,9,71.8,,45.75,,0.0
MI,10,44.4,17.65,29.24,,0.0
MI,11,55.3,,48.09,,0.0
MI,12,71.7,20.21,57.0,,0.0
MI,13,57.8,18.45,27.95,,0.0
MI,14,43.8,,33.12,,0.0
MI,15,69.2,16.7,33.84,,0.0
MI,16,54.3,17.92,55.83,,0.0
MI,17,56.0,17.17,46.94,,0.0
MI,18,66.3,,34.1,,0.0
MI,19,38.9,18.82,51.84,,0.0
MI,20,37.8,,52.55,,0.0
MI,21,50.8,,32.81,,0.0
MI,22,58.3,16.47,40.37,,0.0
MI,23,49.4,16.36,29.81,,0.0
MI,24,56.7,15.09,,,0.0
MI,25,56.4,17.08,,,0.0
MI,26,43.2,15.4,,,0.0
MI,27,74.4,17.09,,,0.0
MI,28,81.2,16.33,23.31,,0.0
MI,29,38.0,17.49,26.69,,0.0
MI,30,54.0,16.01,23.62,,0.0
MI,31,58.0,15.19,35.93,,0.0
MI,32,71.7,13.98,35.87,,0.0
MI,33,59.4,15.91,48.86,,0.0
MI,34,48.5,14.88,33.28,,0.0
MI,35,51.7,14.94,41.55,,0.0
MI,36,49.7,14.27,26.32,,0.0
MI,37,50.8,16.37,41.85,,0.0
MI,38,39.5,14.38,32.06,,0.0
MI,39,49.4,15.42,30.54,,0.0
MI,40,74.0,14.8,43.81,,0.0
MI,41,42.2,14.97,28.04,,0.0
MI,42,71.2,15.62,29.05,,0.0
MI,43,41.5,14.39,27.79,,0.0
MI,44,62.6,15.34,30.01,,0.0
MI,45,60.3,14.93,29.69,,0.0
MI,46,58.2,14.08,26.61,,0.0
MI,47,43.9,16.18,35.0,,0.0
MI,48,68.3,16.07,40.97,,0.0
MI,49,80.8,17.09,49.77,,0.0
MI,50,56.5,16.89,30.48,,0.0
MI,51,61.8,13.61,32.16,,0.0
MI,52,53.5,15.95,45.55,,0.0
NC,1,53.3,8.96,22.96,,0.0
NC,2,27.4,8.13,9.18,,0.0
NC,3,22.7,5.22,14.62,,0.0
NC,4,26.6,8.22,20.06,,0.0
NC,5,40.8,8.97,18.36,,0.0
NC,6,52.1,9.4,25.57,,0.0
NC,7,54.1,8.51,21.97,,0.0
NC,8,26.2,8.16,14.7,,0.0
NC,9,64.3,7.92,19.41,,0.0
NC,10,44.1,9.28,23.2,,0.0
NC,11,24.0,7.88,18.33,,0.0
NC,12,47.1,7.35,16.91,,0.0
NC,13,29.4,8.22,20.91,,0.0
NC,14,44.2,8.36,17.22,,0.0
NC,15,36.6,8.07,16.23,,0.0
NC,16,27.1,7.85,19.65,,0.0
NC,17,59.7,6.75,15.85,,0.0
NC,18,20.8,9.71,18.73,,0.0
NC,19,57.2,8.65,23.3,,0.0
NC,20,59.9,9.4,18.5,,0.0
NC,21,60.9,7.91,19.97,,0.0
NC,22,36.7,7.5,22.32,,0.0
NC,23,48.0,6.58,13.55,,0.0
NC,24,64.4,8.7,20.12,,0.0
NC,25,57.9,7.18,16.01,,0.0
NC,26,45.4,8.71,20.95,,0.0
NC,27,23.6,7.48,21.5,,0.0
NC,28,30.3,7.28,,,0.0
NC,29,36.0,7.25,,,0.0
NC,30,25.8,6.33,,,0.0
NC,31,20.5,8.11,17.91,,0.0
NC,32,61.2,6.5,8.05,,0.0
NC,33,29.6,7.41,14.75,,0.0
NC,34,58.1,7.36,11.21,,0.0
NC,35,58.7,6.67,16.87,,0.0
NC,36,56.5,7.22,11.89,,0.0
NC,37,58.8,6.82,15.56,,0.0
NC,38,21.9,7.35,13.07,,0.0
NC,39,39.8,6.58,,,0.0
NC,40,53.7,7.15,,,0.0
NC,41,59.1,6.68,,,0.0
NC,42,43.3,5.61,,,0.0
NC,43,49.0,8.21,22.85,,0.0
NC,44,55.5,7.82,14.1,,0.0
NC,45,49.5,9.33,28.95,,0.0
NC,46,45.3,7.03,18.18,,0.0
NC,47,37.4,8.17,19.52,,0.0
NC,48,48.9,7.51,18.56,,0.0
NC,49,28.6,7.3,17.25,,0.0
NC,50,56.7,7.93,16.8,,0.0
NC,51,37.2,7.19,19.15,,0.0
NC,52,45.0,7.0,22.33,,0.0
NY,1,18.7,3.74,,clinic,1.61
NY,2,43.4,4.24,,clinic,1.8
NY,3,33.8,4.74,,clinic,0.97
NY,4,24.3,2.92,,clinic,0.97
NY,5,44.3,5.6,,clinic,1.72
NY,6,41.8,4.51,12.06,clinic,1.44
NY,7,31.2,6.28,15.22,clinic,2.11
NY,8,42.9,6.16,15.12,clinic,2.76
NY,9,52.2,5.72,10.2,clinic,1.42
NY,10,31.9,6.4,12.58,clinic,2.46
NY,11,39.8,6.19,14.35,clinic,3.03
NY,12,46.3,3.6,3.19,clinic,0.97
NY,13,46.2,5.18,16.82,clinic,2.01
NY,14,32.1,6.43,9.94,clinic,2.71
NY,15,32.2,2.81,2.97,clinic,0.78
NY,16,35.8,5.82,16.59,clinic,2.68
NY,17,35.4,5.35,12.73,clinic,1.42
NY,18,54.8,4.89,7.69,clinic,1.19
NY,19,40.1,4.33,10.44,clinic,1.36
NY,20,24.8,5.6,11.56,clinic,1.98
NY,21,24.8,4.2,10.64,clinic,1.86
NY,22,54.9,4.05,7.63,clinic,1.1
NY,23,19.8,3.74,3.51,clinic,1.66
NY,24,48.6,5.66,7.83,clinic,2.65
NY,25,41.9,5.35,11.15,clinic,1.85
NY,26,56.5,4.02,11.5,clinic,0.85
NY,27,16.8,3.9,9.89,clinic,0.87
NY,28,13.4,2.57,3.46,clinic,1.02
NY,29,27.1,4.06,11.41,clinic,1.12
NY,30,36.2,3.98,9.05,clinic,1.15
NY,31,48.0,1.78,3.55,clinic,0.85
NY,32,34.7,0.79,1.26,clinic,0.19
NY,33,33.0,1.54,6.55,clinic,0.39
NY,34,36.6,2.33,4.81,clinic,0.77
NY,35,30.0,1.64,2.28,clinic,0.62
NY,36,26.8,0.86,2.06,clinic,0.28
NY,37,26.5,1.48,4.4,clinic,0.63
NY,38,21.5,0.0,0.63,clinic,0.0
NY,39,43.2,0.72,3.28,clinic,0.17
NY,40,31.2,1.69,4.67,clinic,0.83
NY,41,16.1,2.51,6.51,clinic,1.04
NY,42,37.0,1.16,3.93,clinic,0.38
NY,43,53.2,1.54,0.78,clinic,0.33
NY,44,15.5,2.22,4.26,clinic,0.87
NY,45,29.4,2.05,2.32,clinic,0.59
NY,46,44.7,2.37,5.43,clinic,0.49
NY,47,35.6,2.26,8.33,clinic,0.46
NY,48,21.4,3.7,8.31,clinic,1.57
NY,49,17.1,4.24,8.32,clinic,1.61
NY,50,41.3,3.86,8.19,clinic,1.67
NY,51,31.9,3.85,5.6,clinic,1.88
NY,52,50.1,2.15,5.53,clinic,0.67
OH,1,56.2,,13.72,,0.0
OH,2,50.9,5.0,15.38,,0.0
OH,3,37.2,6.1,,,0.0
OH,4,18.9,,,,0.0
OH,5,52.9,6.67,,,0.0
OH,6,53.2,6.09,9.0,,0.0
OH,7,32.9,7.17,19.67,,0.0
OH,8,36.5,8.35,,,0.0
OH,9,30.6,,,,0.0
OH,10,29.7,,15.79,,0.0
OH,11,27.6,6.88,14.65,,0.0
OH,12,26.9,6.22,16.62,,0.0
OH,13,44.5,5.87,15.84,,0.0
OH,14,35.1,5.08,11.17,,0.0
OH,15,49.6,8.14,20.82,,0.0
OH,16,37.9,,13.86,,0.0
OH,17,21.2,,16.16,,0.0
OH,18,45.3,6.96,14.43,,0.0
OH,19,47.9,7.17,18.67,,0.0
OH,20,25.9,5.28,11.13,,0.0
OH,21,18.4,6.15,20.55,,0.0
OH,22,20.7,,17.08,,0.0
OH,23,54.7,5.21,14.66,,0.0
OH,24,21.9,6.47,17.98,,0.0
OH,25,47.0,,15.14,,0.0
OH,26,57.4,5.88,8.67,,0.0
OH,27,49.6,7.83,14.06,,0.0
OH,28,47.5,5.75,16.72,,0.0
OH,29,25.1,,16.72,,0.0
OH,30,38.6,,11.6,,0.0
OH,31,61.2,4.26,8.62,,0.0
OH,32,54.4,6.03,13.31,,0.0
OH,33,38.4,,21.59,,0.0
OH,34,49.2,4.67,9.98,,0.0
OH,35,43.4,,13.16,,0.0
OH,36,34.4,5.55,13.28,,0.0
OH,37,59.1,2.66,9.1,,0.0
OH,38,18.3,,10.53,,0.0
OH,39,43.7,,12.97,,0.0
OH,40,50.7,5.43,14.94,,0.0
OH,41,46.4,,17.05,,0.0
OH,42,17.5,4.56,6.71,,0.0
OH,43,32.2,5.06,7.95,,0.0
OH,44,50.5,4.33,9.6,,0.0
OH,45,25.1,7.85,19.6,,0.0
OH,46,37.6,5.28,11.67,,0.0
OH,47,31.4,4.42,9.5,,0.0
OH,48,49.7,,7.17,,0.0
OH,49,37.0,,12.49,,0.0
OH,50,35.4,4.77,8.29,,0.0
OH,51,48.1,6.34,6.92,,0.0
OH,52,26.1,5.92,10.57,,0.0
PA,1,79.0,16.69,50.72,clinic,5.13
PA,2,74.5,16.48,26.47,clinic,3.65
PA,3,51.4,17.4,33.72,clinic,5.75
PA,4,73.4,17.29,33.76,clinic,8.31
PA,5,50.6,,37.43,clinic,4.71
PA,6,67.0,16.66,47.35,clinic,6.23
PA,7,56.8,16.77,43.05,clinic,6.87
PA,8,45.9,,47.39,clinic,7.13
PA,9,57.1,17.24,36.52,clinic,4.4
PA,10,51.9,18.14,33.15,clinic,7.17
PA,11,60.0,,38.2,clinic,7.09
PA,12,76.6,17.73,50.47,clinic,4.07
PA,13,73.2,,25.05,clinic,5.08
PA,14,49.3,,47.08,clinic,4.3
PA,15,39.9,,48.69,clinic,8.58
PA,16,80.1,15.76,38.47,clinic,6.88
PA,17,40.9,18.29,26.11,clinic,7.5
PA,18,60.9,16.77,34.53,clinic,4.55
PA,19,73.9,16.95,47.58,clinic,4.88
PA,20,81.8,17.94,41.7,clinic,8.09
PA,21,45.4,,34.93,clinic,8.11
PA,22,73.3,15.75,24.79,clinic,7.73
